phrase,l3_intent,l2_intent,l1_intent,category,intent_type,Source,Notes,Reviewed,changed,normalized_l3_intent
printer failure 0x6100004a,printer error message,print device issue,print device,product issue,product issue,va,,,,printererrormessage
my printer is telling me 'printer error',printer error message,print device issue,print device,product issue,product issue,va,,,,printererrormessage
error printing on,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
the printer is not working and shows 8af30001 on the display,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
keep on getting error can't sign printer,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
i'm having a problem getting it on my hp encik n. i was also tiled to talk to one of the engineers about the printer drivers,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,ivr,,,,installoruninstallorupdateprinterdrivers&software
my computer can no longer find the printer. after multiple attempts i removed the printer and need help reinstalling the printer driver,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
i have an hp deskjet 3054a and i'm trying to load driver so i can scan a picture,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
i have problem to instal hp deskjet f4180,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
got a new printer,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,Filipino. Translation: good evening I just want to ask how do I know if the printer is installed properly?,,,installoruninstallorupdateprinterdrivers&software
i need up with my hp 5740 office printer,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
hp officejet pro 8720 printer drivers will not install,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
i want hp int tank 316 drivers,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
installing printer hp deskjet f4100 series,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
driver for mfpm426fdn,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
trying to install the printer,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
i have a new hp printer and it says to go to 123.hp.com to download soft ware. i'm stuck,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
deleting devices,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,ivr,,,,installoruninstallorupdateprinterdrivers&software
printer installation,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
how to install hp lajerjet 1018,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
"i need the driver for deskjet ink advantage 2135, please",install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
i need to install the printer,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
printer cox just installation,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software,Drivers & Software,product information,va,,,,installoruninstallorupdateprinterdrivers&software
cannot in that printer says drivers needed,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
printer not working - driver error showing nothing in print que,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,ivr,,,,installoruninstallorupdateprinterdrivers&software
my printer won't download update,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,ivr,,,,installoruninstallorupdateprinterdrivers&software
printer is not updating,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,ivr,,,,installoruninstallorupdateprinterdrivers&software
remove a previous owned printer,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
printer download keeps appearing,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,ivr,,,,installoruninstallorupdateprinterdrivers&software
how do i add the hp 600e printer to my computer,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
need software driver for my hp desk jet ink advantage 2135,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
i need to get help to install the printer,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
i am attempting to install a new printer to a new computer,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
can't complete reinstalling scanner,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
need help with printer driver,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
does hp still support my printer driver,install or uninstall or update printer drivers & software,printer drivers & software,drivers & software,drivers & software,drivers & software,va,,,,installoruninstallorupdateprinterdrivers&software
i'm trying to connect my printer to a different wifi network,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,va,,,,configureandsetupwirelesslan
sandi wifi how?,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,va,,,,configureandsetupwirelesslan
i would wireless connection for hp instant ink,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
second wifi connection on printer,configure and setup wireless lan,Network Setup,Internet Wireless-Wired,Product Information,product information,va,,,,configureandsetupwirelesslan
can i get wifi set up,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
we're trying to connect the printer to wifi,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
connecting to a new wireless network,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
i need to type my wifi credientials on computer,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,va,,,,configureandsetupwirelesslan
connecting to new wireless internet,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
i need to reconnect to wifi,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
i am not able to change the wi fi net work,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,va,,,,configureandsetupwirelesslan
i'm trying to set my printer back up again through wi fi.,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,va,,,,configureandsetupwirelesslan
need help connecting to new wifi,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,va,,,,configureandsetupwirelesslan
trying to set up the wifi,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
can i get a wifi connection,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
how do i connect my printer to my wifi,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,va,,,,configureandsetupwirelesslan
how do i update the wifi network on the printer,configure and setup wireless lan,Network Setup,Internet Wireless-Wired,Product Information,Product Information,va,,Y,Y,configureandsetupwirelesslan
how do i connect my hp deskjet 3755 to wifi?,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,va,,,,configureandsetupwirelesslan
difficulty in changing my wifi settings,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
how do i connect my printer to a new wifi,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,va,,,,configureandsetupwirelesslan
a wifi service,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
i need to update my wifi,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
change wireless connection,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
set up connecting to wifi,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
oh i need to get it reconnected to um the wifi,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
wifi connection and printer setup,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,va,,,,configureandsetupwirelesslan
reconnect my wifi,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,va,,,,configureandsetupwirelesslan
turn on wifi direct,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
can i change to modem wifi connection tomorrow,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
i'm able to connect internet wifi,configure and setup wireless lan,network setup,internet wireless-wired,product information,product information,ivr,,,,configureandsetupwirelesslan
"i have run out of cartridges, i changed my delivery address",extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
need to order ink and paper,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
i'm out of black ink caterage,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
no insta ink cartridge on hand,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
how can i order more ink?,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
my ink is empty,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
i need replacement ink sent to me please,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
i would like to get the more ink instant ink,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment,Service Information,Service Information,ivr,,Y,Y,extraorearlyshipmentrequest
we need to have ink sent please,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,ivr,,,,extraorearlyshipmentrequest
i'm out of ink and trying to use starter ink and it doesn't work,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
i cannot get my phone number to connect and i'm out of ink,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,ivr,,,,extraorearlyshipmentrequest
i need a black ink replace,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
i lost my package of ink (moved). can you send me a new one please? i will pay of course.,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,ivr,,,,extraorearlyshipmentrequest
my printer isn't printing properly. i need my ink,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
how do i get my black ink refilled with this subscription? it says that i'm out of black ink.,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
i need black ink. you keep saying i don't.,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
need more ink!,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
i am out of black ink,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
can i have black ink please,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
i want to let you know i need 1 pink and 1 yellow cartridge,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
need i need new ink,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,ivr,,,,extraorearlyshipmentrequest
"i am enrolled in instant ink; however, i need color ink now and i do not have and can't do my work without color ink cartridges?",extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
i really really need the black ink asap please,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
how can i get more ink,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
im out of ink,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
will you send me a black ink cartridge?,extra or early shipment request,order shipment management,order shipment & fulfillment,service information,service information,va,,,,extraorearlyshipmentrequest
my printer is offline ?,print from device issue,network issue,internet wireless-wired,product issue,product issue,va,,,,printfromdeviceissue
it won't go off wifi the printer won't print,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,printfromdeviceissue
why does my printer say offline,print from device issue,network issue,internet wireless-wired,product issue,product issue,va,,,,printfromdeviceissue
printer continually goes offline and will not print,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,was network connection issue,,,printfromdeviceissue
hi; our printer is offline .i tried troubleshooting but its not working.,print from device issue,Network Issue,Internet Wireless-Wired,Product Issue,Product Issue,va,,Y,Y,printfromdeviceissue
printer is not communicating,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,was network connection issue,,,printfromdeviceissue
can't print offline,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,printfromdeviceissue
the printer says offline how can you help,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,was network connection issue,,,printfromdeviceissue
wont print says off line,print from device issue,network issue,internet wireless-wired,product issue,product issue,va,,,,printfromdeviceissue
fine where i need help with my family on getting it back online,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,printfromdeviceissue
my hp printer is suddenly ofline,print from device issue,printing issue,print device,product issue,product issue,va,was connect devices via network,Y,Y,printfromdeviceissue
printer says office but will not connect,print from device issue,network issue,internet wireless-wired,product issue,product issue,va,,,,printfromdeviceissue
yes printer offline,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,was network printing issue,,,printfromdeviceissue
the printer id off line and i cant get it off,print from device issue,network issue,internet wireless-wired,product issue,product issue,va,,,,printfromdeviceissue
my computer tells me my printer is offline,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,,Y,Y,printfromdeviceissue
my printer is off line. need to get back on line,print from device issue,network issue,internet wireless-wired,product issue,product issue,va,was connect devices via network,Y,Y,printfromdeviceissue
printer won't print without wifi,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,printfromdeviceissue
i can't this won't print wireless and when i get it to print while this it works for a while and then it quit,print from device issue,Network Issue,Internet Wireless-Wired,Product Issue,Product Issue,ivr,,Y,Y,printfromdeviceissue
peter our printer is offline how do i get it back online,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,,Y,Y,printfromdeviceissue
and my printer keeps saying that the printer is offline and can i fix it,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,was network connection issue,Y,Y,printfromdeviceissue
my printer keeps going offline and i have to unplug it and plug it back in to get it to respond,print from device issue,network issue,internet wireless-wired,product issue,product issue,va,,,,printfromdeviceissue
"the printer is connected to wireless, but is not printing",Print from Device Issue,network issue,internet wireless-wired,product issue,product issue,ivr,,Y,Y,printfromdeviceissue
my hp printer is offline after i change wi-fi.,print from device issue,printing issue,print device,product issue,product issue,va,was connect devices via network,Y,Y,printfromdeviceissue
the printer is off line,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,was network connection issue,,,printfromdeviceissue
i bought this printer at costco but i have problems with connecting with my computer and apple phone and computer,print from device issue,network issue,internet wireless-wired,product issue,product issue,va,was network printing issue,,,printfromdeviceissue
the printer is offline and will not i will not print from my laptop,print from device issue,network issue,internet wireless-wired,product issue,product issue,ivr,was network connection issue,,,printfromdeviceissue
how can i scan without logging into hp dumb?,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
cannae i have a problem scanning,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,ivr,,,,printerwillnotcopyorscan
not letting me get to scan,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
that's scanning issue,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,ivr,,,,printerwillnotcopyorscan
won't print wont scan,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
yes the order matic scanner is not working,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
i'm unable to copy,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
printer not copying or printing,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
i have issues for my scanner,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
i can't scan from my printer,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,ivr,,,,printerwillnotcopyorscan
why is the scanning function not working,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
my printer will not photstat and will not scan,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,ivr,,,,printerwillnotcopyorscan
why has my printer and scanner stopped working?,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
scanner always fails,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
i'm unable to scan unable to fax,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
i cant get my printer to scan a document,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
i'm unable to scan,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
unable to scan to computer,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
i can't scan,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
i cannot scan to my laptop computer,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,ivr,,,,printerwillnotcopyorscan
i can not scan,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
i cannot scan to my computer or email,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,ivr,,,,printerwillnotcopyorscan
i cannot scan the document,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,ivr,,,,printerwillnotcopyorscan
i am not able to scan from my printer to my computer.,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,ivr,,,,printerwillnotcopyorscan
hp scan operation doesnt work on hp 3820 alll in one printer,printer will not copy or scan,copy or scan issue,print device,product issue,product issue,va,,,,printerwillnotcopyorscan
i replaced the ink cartridge and it does not acknowledge the new cartridge,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
yes the there's an error on my cartridges indicating that they are not that they're indian and need to be discarded,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
the printer doesn't accept the cartridge,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
yes i keep buying cartridges and the cartridges do not work,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
the printer keeps telling me that the cartridge needs to be changed,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
i'm having a problem with my ink,cartridge error,cartridge issue,print device,product issue,product issue,va,,,,cartridgeerror
printer cartridges messed up,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
i have a cartridge problem,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
i change black catridge and is not recognized,cartridge error,Cartridge Issue,Print Device,Product Issue,Product Issue,ivr,,Y,Y,cartridgeerror
i'm i have cartridges who's like the country it isn't working properly,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
cartridge won't work until,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
"customer service number, i get error codes pointing too printer cartridge error",cartridge error,cartridge issue,print device,product issue,product issue,va,,Y,N,cartridgeerror
problem with cartridge,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
problems recognizing in carpet,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
print cartridges does not work,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
replacement printer cartridge problem,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
indicated catheters and not communicating correctly,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
Ink Cartridge Problem error message,cartridge error,cartridge issue,print device,product issue,product issue,va,,,,cartridgeerror
problems with cartridges,cartridge error,cartridge issue,print device,product issue,product issue,va,,,,cartridgeerror
thank you it's rejecting all in cartridges,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
ink probleb,cartridge error,cartridge issue,print device,product issue,product issue,va,,,,cartridgeerror
new cartridge not working,cartridge error,cartridge issue,print device,product issue,product issue,ivr,,,,cartridgeerror
my card for payment had expired and i updated it how long tell the account suspension is lifted?,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
account dashboard is incorrect!,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
why can't i print my stuff using instant ink?,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
i am trying to find my instant ink account,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
"y'all are fucking scammers, why the fuck can't i use my own pri ter i paid for without yellow ink, i do t use yellow i only use black and your guys machine locks me from printing without buying more yellow ink this is a scam and i will be changing brands",account management issue,account management,account,service issue,service issue,ivr,,,,accountmanagementissue
my account is still suspended even though i updated my billing info,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
i am trying to order instant ink and it says i have an old computer on the account which i don't,account management issue,account management,account,service issue,service issue,ivr,,,,accountmanagementissue
my printer says cannot print contact hp instant in,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
"you say you don't have payment details, the app says it can't access my account, because of inactivity (15 mins) i logged in seconds earlier, quite apart from finding it nearly impossible to print, i am tempted to drop my printer from a great height and switch to epson. please help me. this text box is obliterated by the word send so please ignore everything after this full stop. my",account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
printer not showing in my dashboard,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
"i had problems with my black ink cartridge and the assistant sent me a replacement. now i get a message that the cartridge is not a hp instant cartrtidge and not covered under my monthly ink service. the page count will not be covered under my monthly plan. since this cartridge was sent by hp, i need this to be corrected.",account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
it's an eight oh two six it's got a sign on it a problem has occurred with your hp account and you will be unable to print until the issue is resolved,account management issue,account management,account,service issue,service issue,ivr,,,,accountmanagementissue
i have an insta ink plan already and account â€¦ where do i find my monthly account infoâ€¦ ink statusâ€¦ pages used per monthâ€¦etc,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
i bought a printer from someone on facebook market and they are still having my printer on their account. i need help because i'm not able to log my printer an instant ink and i'm almost not able to print anymore because of the fact that it is still in rolled in someone else's account. how do i get help with that?,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
my printer is not printing it is saying- a problem has occurred with your hp account and you will be unable to print until the issue is resolved?,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
i have instant ink but it says i don't,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
problem with the instant ink,Account Management Issue,Account Management,Account,Service Issue,product issue,ivr,,,,accountmanagementissue
i have just updated payment information. the power button on the printer is still blinking  what do i do?,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
mi avete inviato questa mail ma non capisco cosa devo fare grazie,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
i updated our payment info and now i need our printer unlocked,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
at 2:12 i changed my plan to 300 pages a month and my banking info is ok why am i getting message that my printing will be blocked soon,account management issue,account management,account,service issue,service issue,va,,,,accountmanagementissue
ink tank 419,product manual ,learn about product,product information,product information,product information,ivr,,,,productmanual
hp printer desk jet 4155 sucks,product manual ,learn about product,product information,product information,product information,va,,,,productmanual
hp photosmart premium fax all-in-one printer - c309a,product manual ,learn about product,product information,product information,product information,ivr,,,,productmanual
hp deskjetf2180,product manual ,learn about product,product information,product information,product information,va,,,,productmanual
hp photosmart premium fax e-all-in-one printer - c410a,product manual ,learn about product,product information,product information,product information,ivr,,,,productmanual
hp office pro 6975,product manual ,learn about product,product information,product information,product information,ivr,,,,productmanual
remove back of laptop,product manual,learn about product,product information,product information,product information,ivr,,,,productmanual
my hp printer eighty six twenty,product manual ,learn about product,product information,product information,product information,va,,,,productmanual
compaq presario cq56,product manual ,learn about product,product information,product information,product information,ivr,,,,productmanual
how to turn off hp deskjet,product manual,learn about product,product information,product information,product information,va,,,,productmanual
user guides,product manual ,learn about product,product information,product information,product information,ivr,,,,productmanual
need manual,product manual ,learn about product,product information,product information,product information,va,,,,productmanual
zbook 15 g5,product manual ,learn about product,product information,product information,product information,ivr,,,,productmanual
amd radeon hd 7400m series,product manual ,learn about product,product information,product information,product information,ivr,,,,productmanual
why do the user manual download links lead to a 404 page?,product manual ,learn about product,product information,product information,product information,va,,,,productmanual
how to insert sim in laptop,product manual,Learn about Product,Product Information ,product information,product information,va,,Y,Y,productmanual
where do you plug the power adapter into the hp envy x 360,product manual,learn about product,product information,product information,product information,va,,,,productmanual
whwere is the button to push to open the back access door?,product manual ,learn about product,product information,product information,product information,ivr,,,,productmanual
hp smart tank 790 series,product manual ,learn about product,product information,product information,product information,va,,,,productmanual
the lights are flashing,printer blinking lights,print device issue,print device,product issue,product issue,ivr,,,,printerblinkinglights
it was start print and then all of it stops and the light starts blinking and saying that my printer needs attention,printer blinking lights,print device issue,print device,product issue,product issue,ivr,,,,printerblinkinglights
my information like keeps blinking and i can't make any copies,printer blinking lights,print device issue,print device,product issue,product issue,va,,,,printerblinkinglights
i have blinking lights i can't get rid of and won't print it,printer blinking lights,print device issue,print device,product issue,product issue,ivr,,,,printerblinkinglights
power button is blinking,printer blinking lights,print device issue,print device,product issue,product issue,ivr,,,,printerblinkinglights
i'm there are there's an error message and a blinking light,printer blinking lights,print device issue,print device,product issue,product issue,ivr,,,,printerblinkinglights
i'm back with flashing lights and no printer connection,printer blinking lights,print device issue,print device,product issue,product issue,va,,,,printerblinkinglights
yes a light continues to blink on the printer and we are not able to open the printers without hitting a button to get them to,printer blinking lights,print device issue,print device,product issue,product issue,va,,,,printerblinkinglights
i have an orange light on my toner bar,printer blinking lights,print device issue,print device,product issue,product issue,ivr,,,,printerblinkinglights
flashing orange light,printer blinking lights,print device issue,print device,product issue,product issue,ivr,,,,printerblinkinglights
my printer won't connect. all the indicators are flashing.,printer blinking lights,print device issue,print device,product issue,product issue,va,,,,printerblinkinglights
my on/off button keeps blinking and i can't start the printer,printer blinking lights,print device issue,print device,product issue,product issue,va,,,,printerblinkinglights
i don't know i have to access light on my printer,printer blinking lights,print device issue,print device,product issue,product issue,va,,,,printerblinkinglights
three lights are blinking and i can't put,printer blinking lights,print device issue,print device,product issue,product issue,va,,,,printerblinkinglights
all lights are blinking,printer blinking lights,print device issue,print device,product issue,product issue,va,,,,printerblinkinglights
